headline,url,consensus_sentiment,confidence,vader_sentiment,textblob_sentiment,transformer_sentiment
"Tesla Wants a $50,000 Penalty for Anyone Who Tries to Resell Its Signature Model S and X",https://gizmodo.com/tesla-wants-a-50000-penalty-for-anyone-who-tries-to-resell-its-signature-model-s-and-x-2000747590,neutral,0.67,negative,neutral,neutral
Tesla Recalls Cybertrucks Over Concerns Their Wheels Could Come Off,https://gizmodo.com/tesla-recalls-cybertrucks-over-concerns-their-wheels-could-come-off-2000756284,neutral,0.67,negative,neutral,neutral
Tesla Says EV Orders Benefitted From Soaring Gas Prices,https://gizmodo.com/tesla-says-ev-orders-benefitted-from-soaring-gas-prices-2000749762,neutral,0.67,positive,neutral,neutral
Tesla Drivers Can Finally Activate Grok Without Looking Down at a Screen,https://gizmodo.com/great-news-tesla-drivers-can-finally-activate-grok-without-looking-down-at-a-screen-2000745999,positive,0.33,positive,neutral,negative
Tesla Reveals Mysterious $2 Billion AI Hardware Deal in SEC Filing,https://gizmodo.com/tesla-reveals-mysterious-2-billion-ai-hardware-deal-in-sec-filing-2000750025,neutral,0.67,positive,neutral,neutral
SpaceX Becoming a Publicly Traded Company May Rob Elon Musk of a Cool Source of Easy Cash,https://gizmodo.com/spacex-becoming-a-publicly-traded-company-may-rob-elon-musk-of-a-cool-source-of-easy-cash-2000748851,positive,0.33,positive,neutral,negative
Tesla Technically Launched Robotaxis in Dallas and Houston (Just in Time for Quarterly Earnings),https://gizmodo.com/tesla-technically-launched-robotaxis-in-dallas-and-houston-just-in-time-for-quarterly-earnings-2000748611,positive,0.67,positive,positive,neutral
"BMW’s New iX3 Gets Up to 434 Miles on a Charge, Will Retail for $63,000",https://gizmodo.com/bmws-new-ix3-gets-up-to-434-miles-on-a-charge-will-retail-for-63000-2000756178,positive,1.0,positive,positive,positive
California Cops Can Finally Give Robotaxis Tickets,https://gizmodo.com/california-cops-can-finally-give-robotaxis-tickets-2000752774,neutral,0.67,negative,neutral,neutral
Tesla Is Reportedly Working on a Cheaper Electric SUV Model,https://www.cnet.com/home/electric-vehicles/report-teslas-working-on-a-cheaper-compact-suv-model/,neutral,0.67,positive,neutral,neutral
A market analyst shares why he thinks Tesla is the 'single greatest stock short' in market history,https://www.businessinsider.com/tesla-stock-short-bearish-elon-musk-options-trading-markets-tsla-2026-4,positive,0.33,positive,neutral,negative
Elon Musk pushed back the launch of the Tesla Roadster. Again.,https://www.businessinsider.com/elon-musk-delays-tesla-roadster-release-demo-2026-4,positive,0.67,positive,neutral,positive
Tesla slips one-sentence disclosure of a mysterious $2 billion AI hardware acquisition into its latest filing,https://www.businessinsider.com/tesla-mystery-ai-hardware-company-acquisition-2026-4,positive,0.67,positive,neutral,positive
4 Tesla owners react to their FSD dreams getting crushed: 'It feels like a bait and switch',https://www.businessinsider.com/4-tesla-owners-react-to-their-fsd-dreams-getting-crushed-2026-4,positive,0.67,positive,positive,negative
EV bloodbath: US sales plunge as Tesla tightens its grip,https://www.businessinsider.com/ev-shakeout-us-market-tesla-toyota-2026-4,positive,0.33,positive,neutral,negative
Watch the Cybercab robotaxi roll off Tesla's production line,https://www.businessinsider.com/tesla-cybercab-robotaxi-production-video-2026-4,positive,0.67,positive,neutral,positive
Sorry to owners of older Teslas — your car won't be fully autonomous,https://www.businessinsider.com/older-tesla-hardware3-fully-autonomous-self-driving-trade-in-2026-4,positive,0.67,positive,positive,neutral
Tesla's robotaxi timeline just got a little fuzzier,https://www.businessinsider.com/teslas-robotaxi-timeline-just-got-a-little-fuzzier-2026-4,neutral,0.67,positive,neutral,neutral
Ex-Tesla president says he mimicked Domino's online pizza ordering to boost sales,https://www.businessinsider.com/ex-tesla-president-dominos-pizza-car-sales-2026-4,positive,0.67,positive,positive,neutral
He coined 'vibe coding.' Now he says there's a 'growing gap' among AI users,https://www.businessinsider.com/andrej-karpathy-growing-gap-ai-understanding-2026-4,positive,0.67,positive,positive,neutral
Elon Musk's security bill keeps on rising,https://www.businessinsider.com/elon-musk-tesla-security-bill-ceo-safety-threats-2026-5,neutral,0.67,positive,neutral,neutral
The bill for Tesla's AI expansion just keeps getting bigger,https://www.businessinsider.com/the-bill-for-teslas-ai-expansion-just-keeps-getting-bigger-2026-4,positive,0.67,positive,neutral,positive
I was in the courthouse when Elon Musk testified in his case against OpenAI. Here is what it was like.,https://www.businessinsider.com/elon-musk-testimony-openai-trial-inside-courthouse-2026-5,positive,0.67,positive,neutral,positive
Tesla filed a trademark for a new Roadster logo ahead of the EV's long-awaited reveal,https://www.businessinsider.com/tesla-roadster-logo-trademark-2026-5,positive,1.0,positive,positive,positive
OpenAI founder recalls drinking whiskey with Amber Heard at Musk's 'haunted mansion' — then a fight over control,https://www.businessinsider.com/openai-greg-brockman-testifies-elon-musk-haunted-mansion-amber-heard-2026-5,positive,1.0,positive,positive,positive
A passenger said his Tesla robotaxi missed a turn and tried to pull over on the highway,https://www.businessinsider.com/tesla-robotaxi-passenger-it-tried-to-pull-over-on-highway-2026-4,positive,1.0,positive,positive,positive
Why Is It So Hard to Fix an Electric Bike? (2026),https://www.wired.com/story/why-is-it-so-hard-to-fix-an-electric-bike/,positive,0.67,positive,positive,negative
"Thousands of Tesla Owners Demand $7,500 Refunds After FSD Launch Locks Them Out",https://www.autoblog.com/news/thousands-of-tesla-owners-demand-7500-refunds-after-fsd-launch-locks-them-out,neutral,0.67,positive,neutral,neutral
A DOGE Affiliate Is Now in Charge of the US Government's ID Platform,https://www.wired.com/story/a-doge-affiliate-is-now-in-charge-of-the-us-governments-id-platform/,positive,0.67,positive,positive,neutral
2026 Rivian R2 Performance vs. 2026 Tesla Model Y: Which Crossover EV Should You Choose?,https://www.autoblog.com/features/2026-rivian-r2-performance-vs-2026-tesla-model-y-which-crossover-ev-should-you-choose,neutral,0.67,positive,neutral,neutral
Polestar 3 SUV Deals Target Tesla Owners With Massive $21K Discount,https://www.autoblog.com/news/polestar-3-tesla-conquest-incentive,neutral,0.67,positive,neutral,neutral
"After Sales Stall at the Start of 2026, Lucid Drops Production Target",https://gizmodo.com/after-sales-stall-at-the-start-of-2026-lucid-drops-production-target-2000755359,negative,0.33,negative,positive,neutral
We now have a price tag for Elon Musk's ambitious Texas chip project,https://www.businessinsider.com/spacex-terafab-project-cost-texas-elon-musk-2026-5,positive,0.67,positive,neutral,positive
"Tesla’s $50,000 Resale Penalty Turns Luxury EVs Into A Hostage Situation",https://www.gadgetreview.com/teslas-50000-resale-penalty-turns-luxury-evs-into-a-hostage-situation,positive,1.0,positive,positive,positive
High gas prices are not saving Tesla. They are just slowing the bleeding.,https://thenextweb.com/news/high-gas-prices-are-not-saving-tesla-they-are-just-slowing-the-bleeding/,positive,1.0,positive,positive,positive
4 things you missed from Elon Musk's testy second day on the stand at OpenAI trial,https://www.businessinsider.com/things-you-missed-from-elon-musks-testy-testimony-openai-trial-2026-4,positive,0.67,positive,positive,neutral
"Tesla driver reveals 52k miles of EV driving cost him $2,300; Gas cost for 52k miles? Much more",https://autos.yahoo.com/ev-and-future-tech/articles/tesla-driver-reveals-52k-miles-220000753.html,positive,0.67,positive,neutral,positive
Why Your Kindle Could Soon Be A Paperweight And Your Tesla Is Next,https://www.forbes.com/sites/charlesradclyffe/2026/04/13/why-your-kindle-could-soon-be-a-paperweight-and-your-tesla-is-next/,negative,0.67,negative,positive,negative
Electric pickups were supposed to be the future. Now they're stalling.,https://www.businessinsider.com/electric-pickups-us-sales-drop-ev-tesla-cyberstruck-ford-2026-4,positive,0.33,positive,neutral,negative
Family of Celeste Rivas Hernandez speaks out after D4vd charged with murder,https://abcnews.com/US/family-celeste-rivas-hernandez-speaks-after-d4vd-charged/story?id=132245552,positive,0.67,positive,positive,neutral
D4vd charged with murder in 'brutal and horrific' death of teen: DA,https://abcnews.com/US/charges-expected-filed-monday-d4vd-alleged-murder-teen/story?id=132205678,negative,0.67,negative,neutral,negative
"New Mercedes EQS Has Long Range, Quick Charging, and Quicker Steering",https://gizmodo.com/new-mercedes-eqs-has-long-range-quick-charging-and-quicker-steering-2000746403,positive,1.0,positive,positive,positive
"‘The Meta Brand Is Not Something People Want to Put Anywhere Near Their Face,’ Says Snapchat CEO",https://gizmodo.com/the-meta-brand-is-not-something-people-want-to-put-anywhere-near-their-face-says-snapchat-ceo-2000745652,positive,0.67,positive,positive,neutral
Things Are Finally Looking Up for Intel and It Has CPUs to Thank for It,https://gizmodo.com/things-are-finally-looking-up-for-intel-and-it-has-cpus-to-thank-for-it-2000750198,neutral,0.67,positive,neutral,neutral
Only 173? Tesla Cybertruck RWD Recall Reveals Low Sales,https://www.motortrend.com/news/tesla-cybertruck-rwd-recall-brake-rotor,negative,0.67,negative,neutral,negative
How Tesla Model Y Keeps a 93-Year-Old Driver Behind the Wheel and Going to Church in San Diego,https://www.motorbiscuit.com/how-teslas-fsd-is-keeping-a-93-year-old-driver-behind-the-wheel-and-stress-free/,positive,1.0,positive,positive,positive
"The Hardware in Your Pre-2023 Tesla Will Never Allow It to Fully Drive Itself, Elon Musk Admits",https://gizmodo.com/the-hardware-in-your-pre-2023-tesla-will-never-allow-it-to-fully-drive-itself-elon-musk-admits-2000749809,negative,0.67,negative,neutral,negative
Singer D4vd arrested after teen found dead in his Tesla: Police,https://abcnews.com/US/singer-d4vd-arrested-after-teen-found-dead-tesla/story?id=127687961,neutral,0.67,negative,neutral,neutral
"Elon Musk asked Greg Brockman to settle days before OpenAI trial, court filings show",https://www.businessinsider.com/elon-musk-open-ai-trial-offered-settlement-to-brockman-2026-5,neutral,0.67,positive,neutral,neutral
Elon Musk says government checks are the 'best way' to deal with AI job losses — experts aren't so sure,https://www.businessinsider.com/elon-musk-universal-high-income-government-checks-ai-job-losses-2026-4,positive,1.0,positive,positive,positive
Elon Musk says government checks for all wouldn't spike inflation. Economist Steve Hanke says that's not guaranteed.,https://www.businessinsider.com/elon-musk-steve-hanke-universal-high-income-inflation-ai-unemployment-2026-4,neutral,0.67,positive,neutral,neutral
"Cybercab Begins Production, but Elon Musk Says It Will Be 'Very Slow' to Start",https://www.cnet.com/roadshow/news/tesla-cybercab-begins-production/,positive,0.67,positive,positive,neutral
SpaceX and Other Elon Musk Companies Are Propping Up Cybertruck Sales,https://gizmodo.com/spacex-and-other-elon-musk-companies-are-propping-up-cybertruck-sales-2000747459,positive,0.33,positive,neutral,negative
Elon Musk and Sam Altman are headed to court. Meet the 9 players to watch.,https://www.businessinsider.com/openai-trial-witnesess-who-will-testify-musk-altman-nadella-brockman-2026-4,positive,0.67,positive,positive,neutral
"As trial against OpenAI begins, Elon Musk seeks Sam Altman's ouster",https://www.npr.org/2026/04/28/nx-s1-5801438/musk-altman-openai-trial-opening-statements,positive,0.67,positive,positive,neutral
